,Random,Trivial,RBF-SVM,RF,ExtraTrees,AdaBoost,GradBoost,GP,LogisticReg,MLP
0,,,,0.07587779231802701,0.10045712365451136,0.011211179212729877,0.0023846713604830766,,0.0,
1,,,,0.040262632536384846,0.06267537197421356,0.06660664444986987,0.004368152339696105,,0.0,
2,,,,0.019298512418825613,0.07738292756091832,0.04548691112324358,0.011277420741717864,,0.0,
3,,,,0.028443296607791196,0.054315498650807356,0.03813542157501102,0.0012222694177729063,,0.0,
4,,,,0.1159946520200437,0.04247342712387249,0.16332413101072524,0.36743068680175195,,0.0,
5,,,,0.010745291147820645,0.05635545002357885,0.08246596199613931,0.03780283145657599,,0.0,
6,,,,0.0,0.0,0.0,0.0,,0.0,
7,,,,0.15472988366763624,0.07914000581116773,0.06838494352540679,0.0616702649491458,,0.0,
8,,,,0.0,0.0,0.0,0.0,,0.0,
9,,,,0.0008526857273115314,0.009332262077217449,0.02656782126994256,0.0031270277615913504,,0.0,
10,,,,0.004948656544240851,0.01574042123923362,0.028640424252914753,0.003769500974758989,,0.00991448957011291,
11,,,,0.05389468278362205,0.006062770908650507,0.0,0.005937666460312531,,0.0,
12,,,,0.0,0.0,0.0,0.0,,0.0,
13,,,,0.04441997708947833,0.07749416125834206,0.046007563746922414,0.009719229277592875,,0.0,
14,,,,0.01662028863163029,0.048680109053907725,0.019318879650596053,0.0,,0.00340951596277514,
15,,,,0.0,0.0,0.0,0.0,,0.0,
16,,,,0.003815964799445766,0.0,0.025642863099297707,0.0,,0.0,
17,,,,0.0,0.0,0.0,0.0,,0.0,
18,,,,0.03148285514878484,0.025795545015649367,0.009653621761498097,0.0015888276247368325,,0.0,
19,,,,0.001583547276517544,0.003423460032383864,0.0,0.0,,0.0,
20,,,,0.0,0.0,0.0,0.0,,0.0,
21,,,,0.0,0.0,0.0,0.0,,0.0,
22,,,,0.18063906307949937,0.07916019947200051,0.03867047085644078,0.01204072611474831,,0.0,
23,,,,0.18897947106420004,0.18720769007749338,0.17194989467368077,0.4444538347306488,,0.058850605603297426,
24,,,,0.009258180631940548,0.015192198347040081,0.05498382159246373,0.0016028866299893337,,-0.014739494726191736,
25,,,,0.0058962541885978215,0.042803533252873525,0.06271620946497572,0.03159234546046362,,-0.012055317948750395,
26,,,,0.012256312318201748,0.016307844466138206,0.04023323673814172,1.1657898013597735e-05,,-0.012926426425568823,
