learners,metrics,0,1,2,3,4,5,6,7,8,9
Random,fit_time,0.41014933586120605,0.4080817699432373,0.4082963466644287,0.4080512523651123,0.007829904556274414,0.008018970489501953,0.00921177864074707,0.008567094802856445,0.006455421447753906,0.0069768428802490234
Random,score_time,0.15990996360778809,0.16158366203308105,0.1618180274963379,0.16191649436950684,0.005747318267822266,0.006003141403198242,0.006966114044189453,0.006353616714477539,0.004981279373168945,0.005139589309692383
Random,test_Acc,0.4718045112781955,0.49433962264150944,0.5226415094339623,0.49433962264150944,0.46037735849056605,0.4528301886792453,0.4811320754716981,0.4660377358490566,0.47547169811320755,0.5339622641509434
Random,train_Acc,0.4987421383647799,0.49832355406538137,0.4932942162615256,0.5025146689019279,0.4911986588432523,0.4859597652975692,0.49706621961441744,0.49161777032690696,0.4932942162615256,0.5148784576697402
Random,test_F1,0.46653919694072654,0.5086042065009561,0.4867924528301887,0.5261194029850745,0.4804469273743016,0.4833948339483395,0.49624060150375937,0.48148148148148145,0.47692307692307695,0.4861660079051383
Random,train_F1,0.4960033655868742,0.5055413469735721,0.5107989096246592,0.5168208578637511,0.4839190628328009,0.4931449061379456,0.5050420168067227,0.5031552376945729,0.48887022259554813,0.49738329495499267
Random,test_Prec,0.4606741573033708,0.5017667844522968,0.4924812030075188,0.4963235294117647,0.5108695652173914,0.5247933884297521,0.5078125,0.515625,0.5,0.5285714285714286
Random,train_Prec,0.5039932744850778,0.5035849852382961,0.49958677685950414,0.4970464135021097,0.5179640718562875,0.5010660980810234,0.49504950495049505,0.5074196207749382,0.4904643449419569,0.5097540288379983
Random,test_Recall,0.4398496240601504,0.5056603773584906,0.4377358490566038,0.5245283018867924,0.49433962264150944,0.47924528301886793,0.5283018867924528,0.4830188679245283,0.5245283018867924,0.47924528301886793
Random,train_Recall,0.49979035639413,0.49497066219614416,0.4991617770326907,0.5213746856663872,0.5041911148365466,0.48281642917015927,0.4991617770326907,0.5092204526404024,0.4941324392288349,0.5150880134115675
Random,test_MCC,0.02633086530354697,-0.04153902016271485,-0.04532208142510523,-0.09085175309770464,0.06792888130666364,-0.04529882541668522,0.018872762595584305,0.02644221882146796,0.022661040712552614,-0.03779644730092272
Random,train_MCC,0.010903239739008277,0.00209611438235041,0.007125036022240766,0.003352949587859863,0.01969873973282555,0.0037734913693307057,-0.010063258415513485,-0.01467308950080688,-0.006287892289202871,0.019699694857969224
Trivial,fit_time,0.006280660629272461,0.006278276443481445,0.006833314895629883,0.006857156753540039,0.009284496307373047,0.009240388870239258,0.009015321731567383,0.009125947952270508,0.007592916488647461,0.006093740463256836
Trivial,score_time,0.058571815490722656,0.05896759033203125,0.05235147476196289,0.05916547775268555,0.007280111312866211,0.007161140441894531,0.006840705871582031,0.007281064987182617,0.006089210510253906,0.005266666412353516
Trivial,test_Acc,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Trivial,train_Acc,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Trivial,test_F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,train_F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,test_Prec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,train_Prec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,test_Recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,train_Recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,test_MCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trivial,train_MCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBF-SVM,fit_time,1.7728369235992432,1.7555983066558838,1.82932448387146,1.7688944339752197,1.4184250831604004,1.4578771591186523,1.4442558288574219,1.4396181106567383,1.367462396621704,1.3388230800628662
RBF-SVM,score_time,0.5596809387207031,0.5490565299987793,0.5586488246917725,0.5331921577453613,0.5582029819488525,0.569584846496582,0.5839738845825195,0.5626511573791504,0.538945198059082,0.5196614265441895
RBF-SVM,test_Acc,0.6127819548872181,0.4849056603773585,0.5452830188679245,0.2943396226415094,0.5169811320754717,0.6490566037735849,0.6490566037735849,0.6075471698113207,0.6037735849056604,0.4830188679245283
RBF-SVM,train_Acc,0.6752620545073376,0.6925817267393126,0.6764459346186086,0.7001257334450964,0.6841994970662196,0.6787510477787091,0.6766554903604359,0.6810561609388097,0.6898575020955574,0.6946772841575859
RBF-SVM,test_F1,0.4824120603015076,0.38926174496644295,0.6144,0.1762114537444934,0.292817679558011,0.5326633165829147,0.5772727272727274,0.6090225563909775,0.573170731707317,0.41201716738197425
RBF-SVM,train_F1,0.6250302590171871,0.6506311026434866,0.6274131274131274,0.6632148740880207,0.6359023918820973,0.6335166148697108,0.6300647326780148,0.6602678571428571,0.6517647058823529,0.6705855754013114
RBF-SVM,test_Prec,0.7272727272727273,0.47802197802197804,0.5333333333333333,0.21164021164021163,0.5463917525773195,0.7969924812030075,0.7257142857142858,0.6067415730337079,0.6211453744493393,0.47761194029850745
RBF-SVM,train_Prec,0.7394043528064147,0.7534473248758963,0.7394766780432309,0.7563070316693505,0.7507130633200229,0.7373400111296605,0.7361344537815127,0.7063037249283668,0.7430257510729614,0.7280314187530682
