ebl,ibl,gtop,itop,count
10,0.130000000000003,"(4,(3,(1,2)));","(4,(2,(1,3)));",3573
10,0.130000000000003,"(4,(3,(1,2)));","(4,(3,(1,2)));",7173
10,0.140000000000001,"(4,(1,(2,3)));","(4,(1,(2,3)));",551
10,0.140000000000001,"(4,(1,(2,3)));","(4,(2,(1,3)));",527
10,0.140000000000001,"(4,(1,(2,3)));","(4,(3,(1,2)));",2804
10,0.140000000000001,"(4,(2,(1,3)));","(4,(1,(2,3)));",552
10,0.140000000000001,"(4,(2,(1,3)));","(4,(2,(1,3)));",510
10,0.140000000000001,"(4,(2,(1,3)));","(4,(3,(1,2)));",2682
10,0.140000000000001,"(4,(3,(1,2)));","(4,(1,(2,3)));",1044
10,0.140000000000001,"(4,(3,(1,2)));","(4,(2,(1,3)));",981
10,0.140000000000001,"(4,(3,(1,2)));","(4,(3,(1,2)));",5351
10,0.150000000000002,"(4,(1,(2,3)));","(4,(1,(2,3)));",857
10,0.150000000000002,"(4,(1,(2,3)));","(4,(2,(1,3)));",854
10,0.150000000000002,"(4,(1,(2,3)));","(4,(3,(1,2)));",1164
10,0.150000000000002,"(4,(2,(1,3)));","(4,(1,(2,3)));",810
10,0.150000000000002,"(4,(2,(1,3)));","(4,(2,(1,3)));",816
10,0.150000000000002,"(4,(2,(1,3)));","(4,(3,(1,2)));",1110
10,0.150000000000002,"(4,(3,(1,2)));","(4,(1,(2,3)));",1798
10,0.150000000000002,"(4,(3,(1,2)));","(4,(2,(1,3)));",1731
10,0.150000000000002,"(4,(3,(1,2)));","(4,(3,(1,2)));",2381
10,0.170000000000002,"(4,(1,(2,3)));","(4,(1,(2,3)));",879
10,0.170000000000002,"(4,(1,(2,3)));","(4,(2,(1,3)));",893
10,0.170000000000002,"(4,(1,(2,3)));","(4,(3,(1,2)));",3637
10,0.170000000000002,"(4,(2,(1,3)));","(4,(1,(2,3)));",901
10,0.170000000000002,"(4,(2,(1,3)));","(4,(2,(1,3)));",961
10,0.170000000000002,"(4,(2,(1,3)));","(4,(3,(1,2)));",3741
10,0.170000000000002,"(4,(3,(1,2)));","(4,(1,(2,3)));",2094
10,0.170000000000002,"(4,(3,(1,2)));","(4,(2,(1,3)));",1990
10,0.170000000000002,"(4,(3,(1,2)));","(4,(3,(1,2)));",8238
10,0.25,"(4,(1,(2,3)));","(4,(1,(2,3)));",1278
10,0.25,"(4,(1,(2,3)));","(4,(2,(1,3)));",1208
10,0.25,"(4,(1,(2,3)));","(4,(3,(1,2)));",1782
10,0.25,"(4,(2,(1,3)));","(4,(1,(2,3)));",1230
10,0.25,"(4,(2,(1,3)));","(4,(2,(1,3)));",1227
10,0.25,"(4,(2,(1,3)));","(4,(3,(1,2)));",1619
10,0.25,"(4,(3,(1,2)));","(4,(1,(2,3)));",3527
10,0.25,"(4,(3,(1,2)));","(4,(2,(1,3)));",3333
10,0.25,"(4,(3,(1,2)));","(4,(3,(1,2)));",4796
10,0.75,"(4,(1,(2,3)));","(4,(1,(2,3)));",246
10,0.75,"(4,(1,(2,3)));","(4,(2,(1,3)));",204
10,0.75,"(4,(1,(2,3)));","(4,(3,(1,2)));",677
10,0.75,"(4,(2,(1,3)));","(4,(1,(2,3)));",255
10,0.75,"(4,(2,(1,3)));","(4,(2,(1,3)));",236
10,0.75,"(4,(2,(1,3)));","(4,(3,(1,2)));",709
10,0.75,"(4,(3,(1,2)));","(4,(1,(2,3)));",2670
10,0.75,"(4,(3,(1,2)));","(4,(2,(1,3)));",2713
10,0.75,"(4,(3,(1,2)));","(4,(3,(1,2)));",8063
10,1,"(4,(1,(2,3)));","(4,(1,(2,3)));",15
10,1,"(4,(1,(2,3)));","(4,(2,(1,3)));",27
10,1,"(4,(1,(2,3)));","(4,(3,(1,2)));",257
10,1,"(4,(2,(1,3)));","(4,(1,(2,3)));",21
10,1,"(4,(2,(1,3)));","(4,(2,(1,3)));",26
10,1,"(4,(2,(1,3)));","(4,(3,(1,2)));",250
10,1,"(4,(3,(1,2)));","(4,(1,(2,3)));",407
10,1,"(4,(3,(1,2)));","(4,(2,(1,3)));",421
10,1,"(4,(3,(1,2)));","(4,(3,(1,2)));",5425
10,1.25,"(4,(1,(2,3)));","(4,(1,(2,3)));",332
10,1.25,"(4,(1,(2,3)));","(4,(2,(1,3)));",305
10,1.25,"(4,(1,(2,3)));","(4,(3,(1,2)));",819
10,1.25,"(4,(2,(1,3)));","(4,(1,(2,3)));",326
10,1.25,"(4,(2,(1,3)));","(4,(2,(1,3)));",302
10,1.25,"(4,(2,(1,3)));","(4,(3,(1,2)));",763
10,1.25,"(4,(3,(1,2)));","(4,(1,(2,3)));",11855
10,1.25,"(4,(3,(1,2)));","(4,(2,(1,3)));",11907
10,1.25,"(4,(3,(1,2)));","(4,(3,(1,2)));",28591
10,1.5,"(4,(1,(2,3)));","(4,(1,(2,3)));",69
10,1.5,"(4,(1,(2,3)));","(4,(2,(1,3)));",56
10,1.5,"(4,(1,(2,3)));","(4,(3,(1,2)));",276
10,1.5,"(4,(2,(1,3)));","(4,(1,(2,3)));",77
10,1.5,"(4,(2,(1,3)));","(4,(2,(1,3)));",54
10,1.5,"(4,(2,(1,3)));","(4,(3,(1,2)));",254
10,1.5,"(4,(3,(1,2)));","(4,(1,(2,3)));",3499
10,1.5,"(4,(3,(1,2)));","(4,(2,(1,3)));",3482
10,1.5,"(4,(3,(1,2)));","(4,(3,(1,2)));",15039
10,1.75,"(4,(1,(2,3)));","(4,(1,(2,3)));",108
10,1.75,"(4,(1,(2,3)));","(4,(2,(1,3)));",100
10,1.75,"(4,(1,(2,3)));","(4,(3,(1,2)));",429
10,1.75,"(4,(2,(1,3)));","(4,(1,(2,3)));",76
10,1.75,"(4,(2,(1,3)));","(4,(2,(1,3)));",99
10,1.75,"(4,(2,(1,3)));","(4,(3,(1,2)));",384
10,1.75,"(4,(3,(1,2)));","(4,(1,(2,3)));",10720
10,1.75,"(4,(3,(1,2)));","(4,(2,(1,3)));",10485
10,1.75,"(4,(3,(1,2)));","(4,(3,(1,2)));",42599
10,2.5,"(4,(1,(2,3)));","(4,(1,(2,3)));",16
10,2.5,"(4,(1,(2,3)));","(4,(2,(1,3)));",26
10,2.5,"(4,(1,(2,3)));","(4,(3,(1,2)));",36
10,2.5,"(4,(2,(1,3)));","(4,(1,(2,3)));",26
10,2.5,"(4,(2,(1,3)));","(4,(2,(1,3)));",29
10,2.5,"(4,(2,(1,3)));","(4,(3,(1,2)));",55
10,2.5,"(4,(3,(1,2)));","(4,(1,(2,3)));",15689
10,2.5,"(4,(3,(1,2)));","(4,(2,(1,3)));",15518
10,2.5,"(4,(3,(1,2)));","(4,(3,(1,2)));",23275
10,2.75,"(4,(1,(2,3)));","(4,(3,(1,2)));",3
10,2.75,"(4,(2,(1,3)));","(4,(2,(1,3)));",1
10,2.75,"(4,(2,(1,3)));","(4,(3,(1,2)));",2
10,2.75,"(4,(3,(1,2)));","(4,(1,(2,3)));",42
10,2.75,"(4,(3,(1,2)));","(4,(2,(1,3)));",34
10,2.75,"(4,(3,(1,2)));","(4,(3,(1,2)));",1443
10,3,"(4,(1,(2,3)));","(4,(1,(2,3)));",5
10,3,"(4,(1,(2,3)));","(4,(2,(1,3)));",9
10,3,"(4,(1,(2,3)));","(4,(3,(1,2)));",12
10,3,"(4,(2,(1,3)));","(4,(1,(2,3)));",7
10,3,"(4,(2,(1,3)));","(4,(2,(1,3)));",4
10,3,"(4,(2,(1,3)));","(4,(3,(1,2)));",12
10,3,"(4,(3,(1,2)));","(4,(1,(2,3)));",5420
10,3,"(4,(3,(1,2)));","(4,(2,(1,3)));",5432
10,3,"(4,(3,(1,2)));","(4,(3,(1,2)));",12078
10,3.25,"(4,(1,(2,3)));","(4,(1,(2,3)));",1
10,3.25,"(4,(1,(2,3)));","(4,(2,(1,3)));",3
10,3.25,"(4,(1,(2,3)));","(4,(3,(1,2)));",4
10,3.25,"(4,(2,(1,3)));","(4,(1,(2,3)));",4
10,3.25,"(4,(2,(1,3)));","(4,(2,(1,3)));",5
10,3.25,"(4,(2,(1,3)));","(4,(3,(1,2)));",3
10,3.25,"(4,(3,(1,2)));","(4,(1,(2,3)));",6554
10,3.25,"(4,(3,(1,2)));","(4,(2,(1,3)));",6345
10,3.25,"(4,(3,(1,2)));","(4,(3,(1,2)));",7081
10,4,"(4,(3,(1,2)));","(4,(1,(2,3)));",6756
