ibl,count
0.0199999999999996,0.4537288940709073
0.0300000000000011,0.564727092760181
0.0399999999999991,0.4931333333333333
0.0600000000000023,0.49099099099099097
0.0700000000000003,0.460297544362789
0.0799999999999983,0.41224441555371705
0.0899999999999999,0.5466338477913784
0.10999999999999902,0.7481775532298809
0.119999999999997,0.5484241908006814
0.130000000000003,0.4992666666666667
0.140000000000001,0.7223703506199174
0.15000000000000197,0.4040447877788386
0.16,0.5719425426231709
0.17000000000000198,0.6692380217708066
0.19999999999999898,0.9496895739670306
0.25,0.40985
0.75,0.5990616876941609
1.0,0.8661118411446926
1.25,0.5466123188405797
1.5,0.6826712268701219
1.75,0.667876923076923
2.5,0.42740076824583867
2.75,0.9495081967213115
3.0,0.5266547717481178
3.25,0.3544
4.0,0.403621853898097
4.5,0.5751902774367788
5.5,0.4303981702879717
6.0,0.522459078797107
7.0,0.35525778249857015
7.5,0.6832449476852516
8.0,0.5371924746743849
9.0,0.3713193116634799
11.5,0.5567571428571428
13.0,0.46645
13.5,0.3293
14.0,0.3338
14.5,0.7748
