species_ibl,species_ebl,ibl_true,ibl_est
0.00999999999999801,8,0.0252277567846101,0.0503009130337802
0.00999999999999801,40,0.00781599999999999,0.0197308385190656
0.0100000000000016,12,0.00907756548536207,0.580478495251348
0.0100000000000016,14,0.00571359999999999,0.745944001558487
0.0100000000000051,25,0.0124260520738722,0.836028599389877
0.0100000000000051,30,0.00587974982298795,0.217602349505964
0.0199999999999996,8,0.0161184451005202,0.223984463656692
0.0199999999999996,14,0.0118766461392705,0.893289029982466
0.0199999999999996,15,0.0194417777367121,0.233200489880667
0.0199999999999996,20,0.00490275789315048,0.248220929367553
0.0300000000000011,8,0.0219496238747071,0.286926363879789
0.0300000000000011,10,0.0342994119311929,0.588956633856316
0.0300000000000011,12,0.0220612949908968,0.46378435561901
0.0300000000000011,14,0.0288944,-0.149493762292621
0.0300000000000011,15,0.00821483034693101,0.187465690855507
0.0300000000000011,20,0.022107738032056,0.298858960266903
0.0300000000000011,25,0.0303634400641619,0.116955519352688
0.0399999999999991,10,0.0423582375478927,0.00370405827685536
0.0399999999999991,12,0.04432402022756,0.0038976035437864
0.0399999999999991,14,0.0523916359163591,1.22444218081236
0.0399999999999991,15,0.0338781836506769,1.12608251753281
0.0399999999999991,30,0.0386156037552605,0.857001850690899
0.0399999999999991,40,0.0491046,2.32336754954154
0.0499999999999972,40,0.0311762,2.60148000489141
0.0500000000000007,12,0.0383793362604329,0.816187011655178
0.0500000000000007,14,0.0530914647699488,0.102538469314514
0.0500000000000007,15,0.0428659028772296,0.4010489878501
0.0500000000000007,20,0.0451996626347404,0.666890678828676
0.0500000000000043,25,0.0504912094895149,1.06043086459952
0.0600000000000023,8,0.0582235245017912,1.65627832105303
0.0600000000000023,10,0.0628618646076738,0.848231840233453
0.0600000000000023,12,0.0674870609981515,-0.217463347675134
0.0600000000000023,14,0.0747295773074989,0.575805854189447
0.0600000000000023,25,0.0617501696132818,0.709751695018499
0.0600000000000023,30,0.0597208,0.871269915583019
0.0600000000000023,40,0.0575973640005169,0.0364900757699663
0.0700000000000003,10,0.0699428273525069,0.329132342730686
0.0700000000000003,12,0.0681441357012325,0.0300271965959885
0.0700000000000003,14,0.0816256631299735,0.811637927474454
0.0700000000000003,20,0.0682292920607625,0.0763538563976807
0.0799999999999983,8,0.0741872491791319,0.590598050712466
0.0799999999999983,10,0.0782448176331672,0.000318083436926196
0.0799999999999983,12,0.0816578000000001,0.717377646380294
0.0799999999999983,14,0.0835224157254934,0.537491320493797
0.0799999999999983,15,0.0910048243757937,0.252441696825494
0.0799999999999983,20,0.0777975576662144,0.876374530893344
0.0799999999999983,25,0.077084799681877,0.672786026583111
0.0899999999999999,15,0.077008359486448,0.430035985411614
0.0900000000000034,25,0.0830672246618136,0.379108519138131
0.0900000000000034,40,0.098485911928463,1.8108501425413
0.0999999999999979,10,0.0987752,-0.0425553778257015
0.100000000000001,25,0.0975717999999999,0.894474193820511
0.100000000000001,40,0.101726308539945,0.634461854372377
