1:1,1:2,1:3,1:4,2:2,2:3,2:4,3:3,3:4,4:4,g_1:1,g_1:2,g_1:3,g_1:4,g_2:2,g_2:3,g_2:4,g_3:3,g_3:4,g_4:4,s_1:1,s_1:2,s_1:3,s_1:4,s_2:2,s_2:3,s_2:4,s_3:3,s_3:4,s_4:4
25.974444922003,18.3881581732726,18.3378572602389,0,26.025589858989,18.3527424660025,0,26.1306277543164,0,16.8199917114247,32.8416193747853,24.352683957403,24.3274562006183,0,32.8416283064239,24.3341102713844,0,32.8416173136379,0,24.1709350738578,32.0149999999996,24.0149999999997,24.0050000000001,0,32.0149999999996,24.0050000000001,0,32.0149999999996,0,24.0050000000001
27.8296126611504,18.8416338831651,18.6176494195084,0,27.794024189703,18.5928115198982,0,27.9704658625584,0,16.8179601703502,32.8644074406017,24.3697134647828,24.3535950196823,0,32.8644034690004,24.3369839554337,0,32.8644031175313,0,24.1892732145368,32.0300000000029,24.0299999999989,24.0100000000026,0,32.0300000000029,24.0100000000026,0,32.0300000000029,0,24.0100000000026
28.4847794876646,19.0243705285456,18.7374441646658,0,28.5559894433691,18.7439443130031,0,28.7212552318452,0,16.8306523888548,32.8776958934517,24.3842806141325,24.3623309902577,0,32.8776933037367,24.3442458379578,0,32.8776917005797,0,24.2003749537551,32.045000000002,24.0449999999986,24.0149999999996,0,32.045000000002,24.0149999999996,0,32.045000000002,0,24.0149999999996
30.3303081459336,20.3753024849102,18.7190241638573,0,30.4420937719373,18.762390153957,0,31.1525498193131,0,16.7656097188869,32.9194002886654,24.4243326087713,24.3661090842696,0,32.9194012972558,24.3536952839704,0,32.9193982019267,0,24.2149281987967,32.0900000000012,24.089999999997,24.0299999999989,0,32.0900000000012,24.0299999999989,0,32.0900000000012,0,24.0299999999989
30.9215183592726,19.5664283310168,18.9758302803044,0,30.9634079307251,19.0174604450488,0,31.1946184756852,0,16.6219261664902,32.9465233339415,24.4520560470631,24.3778687978839,0,32.9465277423083,24.3654362914995,0,32.9465247932628,0,24.2328625045604,32.1199999999964,24.1199999999968,24.0400000000024,0,32.1199999999964,24.0400000000024,0,32.1199999999964,0,24.0400000000024
31.2685623319354,19.5291037581691,19.0582179232363,0,31.3536942621235,19.1666808477967,0,31.7113483654282,0,16.593079995002,32.9946763380886,24.5040761736207,24.3846599628159,0,32.9946738710715,24.366746522936,0,32.9946691515607,0,24.2484752225677,32.1799999999946,24.1799999999951,24.0599999999981,0,32.1799999999946,24.0599999999981,0,32.1799999999946,0,24.0599999999981
28.3109038680343,18.8579434090244,18.7208812235708,0,28.3523141443912,18.7400660754328,0,28.4806487982433,0,16.8228290537983,33.0071628051517,24.5156559856358,24.3870691619766,0,33.0071618728634,24.368849590829,0,33.0071551396705,0,24.2533431856635,32.1950000000055,24.1950000000049,24.0650000000019,0,32.1950000000055,24.0650000000019,0,32.1950000000055,0,24.0650000000019
29.3514523829359,19.4217099750736,18.7936711422198,0,29.4331954752408,18.8179844933975,0,29.6198290944311,0,16.8364499851562,33.0200895152548,24.5310603995664,24.3928553507821,0,33.0200885860307,24.3734205513397,0,33.020082081462,0,24.2618318878737,32.2100000000022,24.2100000000019,24.0700000000024,0,32.2100000000022,24.0700000000024,0,32.2100000000022,0,24.0700000000024
35.4614174987005,19.7659217350153,19.7593155022303,0,35.4196256337054,19.7735746122923,0,35.6528433684352,0,16.2429680238603,33.0408541683712,24.5343611633805,24.3877676920559,0,33.0408550683139,24.3970007772232,0,33.0408526139246,0,24.2654619569663,32.2250000000024,24.2250000000013,24.0749999999982,0,32.2250000000024,24.0749999999982,0,32.2250000000024,0,24.0749999999982
31.3871586847583,19.8170301524189,19.0119464591774,0,31.4519149794481,19.0690848865783,0,31.9157853093687,0,16.614217438851,33.0565059019891,24.5517159990364,24.3892846548282,0,33.056507450616,24.4020202870122,0,33.0565044221901,0,24.2720983722211,32.2399999999956,24.2399999999972,24.0799999999952,0,32.2399999999956,24.0799999999952,0,32.2399999999956,0,24.0799999999952
