ibl,ebl,count
6.0,10,10508
6.0,20,19875
6.0,30,5000
6.0,40,20000
6.0,50,40000
6.0,60,64023
6.0,70,15000
6.0,150,10193
6.0,180,15000
6.5,20,22679
6.5,30,15758
6.5,50,20000
6.5,60,21005
6.5,130,14254
6.5,140,69320
6.5,150,20000
6.5,180,55000
6.5,230,15000
6.5,240,10000
7.0,10,12239
7.0,20,15641
7.0,30,20000
7.0,40,75000
7.0,80,72473
7.0,140,15000
7.0,150,49298
7.0,210,20000
7.0,220,50000
7.0,230,15000
7.0,250,50094
7.5,10,20931
7.5,20,641
7.5,30,15000
7.5,60,2637
7.5,120,20000
7.5,140,15000
7.5,190,69298
7.5,210,20000
7.5,220,95803
7.5,250,20000
8.0,10,17275
8.0,20,15318
8.0,30,2945
8.0,60,6833
8.0,80,20000
8.0,150,38600
8.0,190,20000
8.0,200,43503
8.0,210,10000
8.0,250,20000
8.5,30,25000
8.5,40,10669
8.5,60,5000
8.5,70,79320
8.5,120,10000
8.5,160,80000
8.5,170,55000
8.5,190,35996
8.5,200,10000
8.5,210,20000
8.5,230,59466
8.5,250,13283
9.0,10,2615
9.0,20,5000
9.0,30,9141
9.0,60,16271
9.0,70,38454
9.0,90,37610
9.0,110,10000
9.0,180,5000
9.0,230,84298
9.5,20,55188
9.5,30,25000
9.5,50,20000
9.5,60,11195
9.5,70,45002
9.5,100,59658
9.5,110,10000
9.5,120,20000
9.5,160,20000
9.5,200,15000
10.0,30,819
10.0,40,59320
10.0,50,15000
10.0,110,47432
10.0,150,45000
10.0,170,10038
10.0,190,73831
10.0,210,10000
10.0,220,14318
10.0,250,10005
10.5,60,19631
10.5,90,20000
10.5,170,15000
10.5,190,10000
10.5,200,10000
10.5,230,86249
10.5,250,69270
11.0,30,10038
11.0,50,20000
11.0,60,25095
11.0,100,20000
11.0,110,10000
11.0,160,10077
11.0,200,20000
11.0,210,45000
11.5,10,70000
11.5,100,20000
11.5,110,20000
11.5,120,15000
11.5,130,5000
11.5,180,15000
11.5,190,15000
11.5,230,50669
11.5,250,11017
12.0,30,15000
12.0,40,20000
12.0,50,15000
12.0,60,16132
12.0,110,10088
12.0,140,10000
12.0,180,20000
12.0,210,20000
12.0,230,10000
12.0,250,10094
13.0,10,20000
13.0,40,20000
13.0,50,15000
13.0,80,79148
13.0,160,15000
13.0,200,45283
13.0,220,62603
13.0,230,20000
13.0,250,65000
13.5,10,20000
13.5,70,20000
13.5,100,5000
13.5,120,20000
13.5,130,79608
13.5,140,20000
13.5,160,78574
13.5,210,14606
13.5,250,20000
14.0,10,20000
14.0,60,23829
14.0,80,10000
14.0,110,87425
14.0,120,15000
14.0,240,9658
14.5,10,20000
14.5,60,10791
14.5,70,15000
14.5,90,20000
14.5,110,15000
14.5,120,54453
14.5,160,65176
14.5,170,19318
14.5,210,20000
14.5,220,9658
14.5,230,40000
14.5,240,65088
15.0,70,10000
15.0,90,75000
15.0,130,20000
15.0,140,20000
15.0,160,10000
15.0,170,20000
15.0,240,55000
15.5,110,45314
15.5,190,44254
15.5,200,10000
15.5,210,20000
15.5,220,20000
15.5,240,19298
16.0,60,5000
16.0,70,1112
16.0,130,20000
16.0,150,5000
16.0,170,41112
16.5,100,15000
16.5,120,15000
16.5,140,20000
16.5,200,20000
16.5,220,58503
17.0,60,11595
17.0,110,76497
17.0,160,20000
17.0,180,15000
17.0,200,80000
17.0,210,55000
17.5,80,20000
17.5,190,10000
17.5,210,70298
17.5,240,10000
17.5,250,10000
18.0,60,7447
18.0,70,10000
18.0,100,20000
18.0,120,19309
18.0,160,20000
18.0,180,15000
18.0,220,20000
18.5,60,7925
18.5,70,43467
18.5,110,20000
18.5,130,20000
18.5,160,5000
18.5,170,15000
18.5,180,50000
19.0,60,34024
19.0,80,5000
19.0,130,38181
19.0,150,20000
19.0,160,55944
19.0,190,15000
19.0,200,15000
19.0,210,66484
19.0,230,15000
19.5,60,26915
19.5,100,20000
19.5,110,10088
19.5,180,10312
19.5,190,20000
19.5,200,20000
19.5,210,10000
20.0,60,26516
20.0,70,10000
20.0,80,10000
20.0,90,10000
20.0,150,5034
20.0,180,55419
20.0,200,30000
20.0,240,20000
