,Random,Trivial,RBF-SVM,RF,ExtraTrees,AdaBoost,GradBoost,GP,LogisticReg,MLP,MLP_big
0,,,,0.026031894592545703,0.07658289679905815,0.04586061007905523,0.06304708897069514,,0.0,,
1,,,,0.025950963341144325,0.023439605319186714,0.0361001892248912,0.014683396238611366,,5.999936092077478,,
2,,,,0.06211770384330717,0.0763783268970702,0.025271370490864413,0.056665219669374815,,0.0,,
3,,,,0.07200236164040426,0.045914188855906014,0.07846499568872752,0.088608190825847,,14.959638930132849,,
4,,,,0.03572981122315914,0.05599521751701264,0.036815568739106484,0.035162425412644346,,0.0,,
5,,,,0.05113823134310813,0.04212331543223237,0.03168223944380505,0.01784299690342767,,0.0,,
6,,,,0.0,0.0,0.0,0.0,,0.0,,
7,,,,0.0,0.0,0.0,0.0,,0.0,,
8,,,,0.052315908681280644,0.027932562930530556,0.05374937309171747,0.10178480603156179,,0.0,,
9,,,,0.058367387654210796,0.02853027273190538,0.059917792196941023,0.02884506209717978,,0.0,,
10,,,,0.04607599723658194,0.08118083262924873,0.02477371393807459,0.014533203162540432,,0.0,,
11,,,,0.03384354083855757,0.048919886613504236,0.04118805178529291,0.04006718912150357,,1.5623672032202829,,
12,,,,0.0,0.0,0.0,0.0,,0.0,,
13,,,,0.0,0.0,0.0,0.0,,0.0,,
14,,,,0.02929413233111711,0.015079051590548107,0.03582935034606255,0.02768290100935501,,0.0,,
15,,,,0.0421997045545466,0.05429857038024646,0.07400388720688451,0.09524487893111992,,8.234534936645476,,
16,,,,0.0,0.0,0.0,0.0,,0.0,,
17,,,,0.0,0.0,0.0,0.0,,0.0,,
18,,,,0.05771309313419185,0.05957807051321889,0.013680650000707041,0.031816606594244436,,0.0,,
19,,,,0.03857947820649339,0.06418247928572758,0.015678237638347244,0.004149327411382737,,0.0,,
20,,,,0.0391802014035176,0.05281220426764817,0.041010437479667275,0.06280824088506864,,0.0,,
21,,,,0.07506178832489636,0.06984123080724591,0.019132350544740842,0.05830865312066076,,0.0,,
22,,,,0.044226086631085605,0.05007633242873177,0.020355026459770244,0.014299616786773921,,-1.084039201916537,,
23,,,,0.07433971764378793,0.03837390526538995,0.04077086837104816,0.025400460577407736,,-4.731603378736531,,
24,,,,0.05529869081737911,0.042701054199603794,0.09550957123783121,0.0751112659842032,,0.003837908253747186,,
25,,,,0.049337162108890296,0.024179831608494587,0.12269335585099433,0.11045552165016795,,-0.003661359176330823,,
26,,,,0.03119614444979443,0.021880163927489805,0.08751236018547073,0.033482948616229975,,-0.004773691228411531,,
