,Mean,Median,RF,ExtraTrees,GradBoost,AdaBoost,GP,ElasticNet,MLP,MLP_big
0,,,0.02543775330042995,0.01902179697093669,0.014362187256525038,0.06104808986905003,,0.0,,
1,,,0.09275571647628034,0.11801976016264648,0.08815999877945667,0.0670669243202027,,0.0,,
2,,,0.023324428864563863,0.0073557928759412795,0.10224071692831886,0.12701016297283532,,0.0,,
3,,,0.006781754153864834,0.045847843507056965,0.05750972542208535,0.03141489249308446,,0.0,,
4,,,0.012229942605671847,0.01494708840694194,0.03426091425086775,0.028721103686819183,,0.0,,
5,,,0.08962068118132274,0.05907045610135305,0.042947367062244945,0.031139734401002078,,0.0,,
6,,,0.0,0.0,0.0,0.0,,0.0,,
7,,,0.0,0.0,0.0,0.0,,0.0,,
8,,,0.05089125495650931,0.032785824596626226,0.04491138837313819,0.03836195693915448,,0.0,,
9,,,0.01943766959454403,0.051511977546603305,0.013008928803073416,0.02054708800528689,,0.0,,
10,,,0.01423605774537042,0.009670727034618794,0.02325943095261439,0.0084810933373891,,0.0,,
11,,,0.021606173475998598,0.07316881220018585,0.06882049377989383,0.03546688949350018,,0.0,,
12,,,0.0,0.0,0.0,0.0,,0.0,,
13,,,0.0,0.0,0.0,0.0,,0.0,,
14,,,0.01000372058271588,0.029158743325857873,0.01407710052808312,0.014112448501682482,,0.0,,
15,,,0.05940589652337806,0.09764050715163022,0.054081988186416234,0.04748689018786316,,0.0,,
16,,,0.0,0.0,0.0,0.0,,0.0,,
17,,,0.0,0.0,0.0,0.0,,0.0,,
18,,,0.008214222568258513,0.02131779531474348,0.04318835018313866,0.03260520130958727,,0.0,,
19,,,0.00987502714564879,0.09190393230621083,0.02044430412616599,0.03598641037777704,,0.0,,
20,,,0.03033999336095523,0.025265368684136185,0.051727025542307896,0.016852400710437285,,0.0,,
21,,,0.2564079099854809,0.07867175636355658,0.15420337755991442,0.13174917070621128,,0.0,,
22,,,0.025897881876678585,0.009804147012646019,1.5932893455191083e-05,0.0446500421739784,,0.0,,
23,,,0.07846197824192772,0.135268094592944,0.0030789921911901184,0.048039647675265494,,0.0,,
24,,,0.00794386219501916,0.03091576454396212,0.014254609601738945,0.03659164733700413,,0.0,,
25,,,0.13340867697538838,0.03622536438737292,0.13360346382003488,0.09927980125075991,,-0.0,,
26,,,0.023719398189992823,0.012428446914029185,0.02184370375933613,0.04338840425110908,,0.0,,
