learners,metrics,0,1,2,3,4,5,6,7,8,9
Mean,fit_time,0.0016260147094726562,0.0015468597412109375,0.0008559226989746094,0.001355886459350586,0.0014524459838867188,0.001482248306274414,0.0007293224334716797,0.0016906261444091797,0.0007100105285644531,0.0006532669067382812
Mean,score_time,0.001949310302734375,0.001837015151977539,0.000919342041015625,0.001773834228515625,0.001739501953125,0.0016932487487792969,0.0008864402770996094,0.0016641616821289062,0.0008969306945800781,0.0008728504180908203
Mean,test_MSE,0.02275977259563481,0.008479457537570886,0.022134583647646703,0.024268512943717305,0.018136818621237012,0.008409737662759677,0.020884800575543205,0.02483975622769127,0.008989681918167442,0.018778551851265538
Mean,train_MSE,0.014862926230257647,0.01638657960476475,0.01493482694670077,0.01446836702491515,0.015283377983262753,0.01635572844502155,0.015127308226026337,0.014788997987017466,0.016062785178182586,0.015192555473939613
Mean,test_MAE,0.14981696364442448,0.09033035682221224,0.1483080363555755,0.15448348182221225,0.12528828743036058,0.0825,0.1439229443448005,0.153350351109745,0.08136256404399878,0.1356317511416856
Mean,train_MAE,0.11484202396142956,0.12227784981420611,0.1150306398725357,0.11425870918920611,0.11790810848818757,0.12325664441698263,0.11643769055481948,0.11558065357618817,0.12212499785489236,0.11719143539146629
Mean,test_EV,3.3306690738754696e-16,0.0,-4.440892098500626e-16,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
Mean,train_EV,0.0,0.0,1.1102230246251565e-16,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0
Median,fit_time,0.0014753341674804688,0.0008196830749511719,0.0013742446899414062,0.0007171630859375,0.0013191699981689453,0.0012450218200683594,0.0013816356658935547,0.001255035400390625,0.0012328624725341797,0.001132965087890625
Median,score_time,0.001600503921508789,0.000885009765625,0.001493215560913086,0.0008604526519775391,0.001550912857055664,0.0014698505401611328,0.0015273094177246094,0.0014843940734863281,0.0014030933380126953,0.0013852119445800781
Median,test_MSE,0.033048591452855124,0.010903115020217551,0.04414040661099643,0.027021368929135953,0.036483275349690834,0.0078107319462137545,0.04014249859010446,0.029935485224987294,0.015006306197202507,0.026786969342385197
Median,train_MSE,0.015830650913346712,0.01669509209220582,0.018711709558613593,0.014680310353591021,0.01966885096627679,0.016567190253248848,0.018263960411121646,0.015038658341210065,0.018394858919181342,0.01732388954234655
Median,test_MAE,0.18092523719165088,0.09911261859582543,0.2097643835616438,0.1617626185958254,0.17163193109347707,0.08249999999999999,0.19992876712328767,0.16915099521663504,0.09745974716886312,0.15102054240317397
Median,train_MAE,0.11389098976802628,0.12145039441698263,0.10962359647177713,0.11361914441698262,0.11439015303029801,0.12325664441698263,0.11234799558242899,0.11466850255939826,0.12066161757081378,0.11579245436769463
Median,test_EV,2.220446049250313e-16,0.0,1.3322676295501878e-15,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
Median,train_EV,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0
RF,fit_time,0.021376371383666992,0.014885187149047852,0.02364349365234375,0.02237725257873535,0.014394283294677734,0.018305540084838867,0.0198209285736084,0.01787543296813965,0.014767885208129883,0.013391494750976562
RF,score_time,0.005501508712768555,0.004246711730957031,0.006143808364868164,0.005341768264770508,0.004231691360473633,0.004776954650878906,0.005305051803588867,0.004809856414794922,0.004241943359375,0.003830432891845703
RF,test_MSE,0.02752564551460651,0.008320194424265778,0.015343445228586858,0.031551870902116745,0.020554155199515922,0.008847011076640038,0.0410962085682025,0.029427503684386378,0.013565431122854812,0.021792985742187233
RF,train_MSE,0.0038583550847753906,0.0042191162892693205,0.004817181650126109,0.003426093822562473,0.0035954930313440493,0.0041660964823679,0.004342407698218548,0.004062463069372651,0.003830739341006428,0.003779590496657485
RF,test_MAE,0.15343325234481192,0.08070571190072923,0.10652007711689707,0.17612733203039527,0.1242009930070027,0.08350054294721523,0.20114323668761278,0.1706298674254916,0.10356293014693836,0.1420053134770541
RF,train_MAE,0.05268481672907159,0.05629642461256809,0.060200290358846956,0.04841362204043612,0.05199968018219012,0.055265849826301366,0.04917582864634771,0.057007133161853206,0.054651542888273986,0.052020430010645255
RF,test_EV,-11.661314443031234,-0.5188500256466615,-27.690821905083332,-0.4304357961141745,0.021095478718911265,-0.07068512001731175,-2.7289860985270744,0.7635288888352755,-0.679361801585459,-0.4663683430456682
RF,train_EV,0.74422302493975,0.7448983313053057,0.6792943850690298,0.7671039271812121,0.7662008311916563,0.7453434640929032,0.7135369588939524,0.728923176178351,0.762229658779941,0.7552781578982368
ExtraTrees,fit_time,0.023738622665405273,0.02502584457397461,0.012054920196533203,0.027661800384521484,0.012026548385620117,0.019008398056030273,0.019961833953857422,0.012009620666503906,0.018903732299804688,0.016430377960205078
ExtraTrees,score_time,0.007013559341430664,0.007339954376220703,0.004175901412963867,0.0071294307708740234,0.004218101501464844,0.0059528350830078125,0.0060656070709228516,0.004273414611816406,0.006038665771484375,0.005500316619873047
ExtraTrees,test_MSE,0.026339733496708546,0.006222618464361159,0.01999067655494571,0.031254301020329854,0.020291130868140796,0.010551670123150992,0.0340916638806383,0.02240143437924581,0.01834810268277811,0.019041935858141058
ExtraTrees,train_MSE,0.006093664879881456,0.007520784856110048,0.005860827620744758,0.005919410646395411,0.005558976887126853,0.005175042102883865,0.005501252869690812,0.0058870291650122576,0.005349286073160299,0.006482189835156679
