,Mean,Median,RF,ExtraTrees,GradBoost,AdaBoost,GP,ElasticNet,MLP,MLP_big
0,,,0.07061377223071305,0.06820672414625552,0.048992654103155155,0.04342076255656452,,0.0,,
1,,,0.0017695890375135765,0.008831945855056691,0.0,0.01885456146654093,,0.0,,
2,,,0.046729160508455554,0.004697660099311593,0.015984097793554964,0.021248440525902506,,0.0,,
3,,,0.0009871236214035524,0.02505646726551094,0.003583431855808321,0.0,,0.0,,
4,,,0.0072806749017857745,0.018503941488782642,0.0,0.007552385499994247,,0.0,,
5,,,0.1381269995858658,0.04546819158806677,0.1318450983064887,0.07851091144934202,,0.0,,
6,,,0.005681244635295952,0.01178478189796322,0.10785990318052319,0.02762035728235327,,-0.0,,
7,,,0.00139376803116727,0.004103601979379834,0.011386895718445422,0.014508579261271337,,0.0,,
8,,,0.002084521121592019,0.03029350840580448,0.022508391628681707,0.023396083871664686,,0.0,,
9,,,0.008857089162885152,0.01884807703075671,0.028786068646033038,0.014186187787329567,,0.0,,
10,,,0.0,0.04711440731754391,0.0026169561557267797,0.008891976204835526,,0.0,,
11,,,0.0017149456531389453,0.010142789409157655,0.019126679608432073,0.027841947486581912,,0.0,,
12,,,0.0,0.004767464670320024,0.0010948378833724808,0.0,,0.0,,
13,,,0.0,0.024166499230588473,0.0014763739022371912,0.011513177321299998,,0.0,,
14,,,0.025914946558366347,0.02750122627645074,0.017741601595643603,0.01850378977126339,,0.0,,
15,,,0.0,0.0,0.0,0.0,,0.0,,
16,,,0.0,0.0,0.0,0.0,,0.0,,
17,,,0.0,0.0,0.0,0.0,,0.0,,
18,,,0.0,0.0,0.0,0.0,,0.0,,
19,,,0.0,0.0,0.0,0.0,,0.0,,
20,,,0.02333565327341818,0.04270077433383024,0.005968388046937187,0.014781851020945593,,0.0,,
21,,,0.007092150229697789,0.0025188019804991075,0.008229888863553973,0.03768559553011832,,0.0,,
22,,,0.017821685821439892,0.005272589146294027,0.01875856953933037,0.0,,0.0,,
23,,,0.004988453487128018,0.02078452055642101,0.01418503756651181,0.013595885998855469,,0.0,,
24,,,0.008680537129083543,0.015842803995516103,0.0048698873969308,0.013140123457080492,,0.0,,
25,,,0.06272681775838927,0.06693381451369361,0.013099613750243452,0.0,,0.0,,
26,,,0.0,0.004628247068819461,0.015771750782914297,0.0,,0.0,,
27,,,0.006991287453807475,0.0019292751755374995,0.001679181605954193,0.0,,0.0,,
28,,,0.0,0.018364603917590476,0.007403823265933739,0.004380926161857787,,0.0,,
29,,,0.0,0.011272962244575952,0.014200504935094215,0.002005517301907011,,0.0,,
30,,,0.0,0.0,0.0,0.0,,0.0,,
31,,,0.0,0.0,0.0,0.0,,0.0,,
32,,,0.0,0.0,0.0,0.0,,0.0,,
33,,,0.0,0.0,0.0,0.0,,0.0,,
34,,,0.0,0.0,0.0,0.0,,0.0,,
35,,,0.0346768616303098,0.08073752731333704,0.036718968379038416,0.019712165918759784,,0.0,,
36,,,0.0,0.014243262207122007,0.005295845162335786,0.020517005240000157,,0.0,,
37,,,0.0057333355675446545,0.008382151711256617,0.004070116216007793,0.0,,0.0,,
38,,,0.0,0.009134298379980463,0.000725674468510601,0.0,,0.0,,
39,,,0.06098027014646849,0.020926968039946005,0.014695217212032766,0.019461079289004184,,0.0,,
40,,,0.0,0.0,0.0,0.0,,0.0,,
41,,,0.0,0.0,0.0,0.0,,0.0,,
42,,,0.0,0.0,0.0,0.0,,0.0,,
43,,,0.0,0.0,0.0,0.0,,0.0,,
44,,,0.0,0.0,0.0,0.0,,0.0,,
45,,,0.22208923386103585,0.0782218904316594,0.07973186296088126,0.11013367762379353,,0.0,,
46,,,0.0,0.01134999578382402,0.0004657870108356153,0.013726625900015171,,0.0,,
47,,,0.0022512744002602266,0.00624734858935211,0.0010229540815300771,0.0,,0.0,,
48,,,0.0,0.012850857804600175,3.180332075775267e-05,0.0,,0.0,,
49,,,0.004299329014869008,0.01219924191011313,0.006535334230987058,0.006310146051141629,,0.0,,
50,,,0.022656691368107867,0.059428525698840294,0.07188917410439778,0.09442034331447263,,0.0,,
51,,,0.07634044493619964,0.014106490865052983,0.1116067753923624,0.1021757521530293,,0.0,,
52,,,0.007951724370829194,0.0040022148747038775,0.00828088905582831,0.042882881561542754,,0.0,,
53,,,0.005882409631303825,0.013278429350342144,0.005361441117568657,0.04044294271613925,,0.0,,
54,,,0.022000262808273392,0.021274631630229777,0.020731330890444575,0.0761678674788583,,0.0,,
55,,,0.02510217062069008,0.052392315575396364,0.021203001918970506,0.011391304592695365,,0.0038470056173475083,,
56,,,0.0,0.012793457277303827,0.023061328835131702,0.009764683426828452,,0.0,,
57,,,0.01170509401798057,0.006991808324065291,0.0,0.007817946334086718,,0.0,,
58,,,0.0,0.0031969729804123513,0.011440381827873755,0.0,,0.0029445599718191003,,
59,,,0.04839489366985901,0.013021324208647326,0.022297176030906703,0.010595683019687135,,0.0,,
60,,,0.0006731159447280141,0.004161380745040794,0.0022992178076713388,0.0027795222402589416,,-0.00026463873349222045,,
61,,,0.00647246781039329,0.0,0.029664600825697492,0.01006131318397796,,0.0,,
62,,,0.0,0.001323226705047318,0.005701483018723032,0.0,,0.0001572021703701938,,
