,Mean,Median,RF,ExtraTrees,GradBoost,AdaBoost,GP,ElasticNet,MLP,MLP_big
0,,,0.019359402132312898,0.02008120949612436,0.032149283524252455,0.00746617912559558,,0.0,,
1,,,0.006596134573247832,0.006700758118992631,0.024238772889693627,0.012635384978751222,,0.0,,
2,,,0.0,0.0025193300295109433,0.002512587905487259,0.016765164661669885,,-0.0,,
3,,,0.1603522357385726,0.07357533835348515,0.05727959917528798,0.049914938177025685,,-0.0,,
4,,,0.008134053339987901,0.029370626197863608,0.0072803113741822705,0.03926186809742283,,-0.0,,
5,,,0.05517162533134721,0.014425767485050745,0.08607576980010638,0.06635623084902002,,0.0,,
6,,,0.006123768545131135,0.029433318224108284,0.05231936371767767,0.05941993804669134,,-0.0,,
7,,,0.0,0.0,0.0,0.014760239928145878,,0.0,,
8,,,0.0006853371146790266,0.03133616219644822,0.0,0.0,,-0.0,,
9,,,0.10450950447436529,0.04267141792766596,0.07660767711898764,0.11369448312096546,,-0.0,,
10,,,0.023315647691446544,0.020255342285910617,0.023053258790189057,0.0,,0.0,,
11,,,0.0038645045623719454,0.016433554211735975,0.00023274635850350172,0.004875919585971555,,0.0,,
12,,,0.0,0.006264572405602674,2.0058564661681165e-05,0.0,,-0.0,,
13,,,0.0022375625928750726,0.03182791855321415,0.0006019773314274516,0.0,,-0.0,,
14,,,0.015649370322330262,0.019769870007747763,0.00885925054800943,0.00032852739846287647,,-0.0,,
15,,,0.0,0.0,0.0,0.0,,0.0,,
16,,,0.0,0.0,0.0,0.0,,0.0,,
17,,,0.0,0.0,0.0,0.0,,0.0,,
18,,,0.0,0.0,0.0,0.0,,0.0,,
19,,,0.0,0.0,0.0,0.0,,0.0,,
20,,,0.028292927308018245,0.02210587118106902,0.01777955578116431,0.0005848553135515762,,0.0,,
21,,,0.011750578326690284,0.02497873761159788,0.029975075661152872,0.01766218707412505,,0.0,,
22,,,0.0,0.010348315229466349,0.003642667510656518,0.0106660194349289,,-0.0,,
23,,,0.008301523370703046,0.04500036050943733,0.01652401622684904,0.0,,-0.0,,
24,,,0.011007475038174225,0.0034514681274465794,0.0012470200771340098,0.0,,-0.0,,
25,,,0.021434091620313477,0.014258938005792343,0.024752670461095604,0.0,,0.0,,
26,,,0.006099874687413168,0.013034513922374558,0.019219607135372498,0.010912433730834618,,0.0,,
27,,,0.0,0.0014616643883625458,0.0,0.028325444856244615,,-0.0,,
28,,,0.0,0.010138533055170589,0.000844051275598463,0.0,,0.0,,
29,,,0.0038478325760565673,0.01741753565447749,0.015014877202656608,0.04380994097865453,,-0.0,,
30,,,0.0,0.0,0.0,0.0,,0.0,,
31,,,0.0,0.0,0.0,0.0,,0.0,,
32,,,0.0,0.0,0.0,0.0,,0.0,,
33,,,0.0,0.0,0.0,0.0,,0.0,,
34,,,0.0,0.0,0.0,0.0,,0.0,,
35,,,0.04492256350076404,0.028329813172820757,0.06450196451616434,0.0,,0.0,,
36,,,0.0,0.013834399835473554,0.0028142790165526016,0.014415806155709662,,0.0,,
37,,,0.0,0.009523095761679737,0.0,0.007766404170274137,,-0.0,,
38,,,0.060639894002253156,0.05967237400474194,0.04374990422669946,0.08638246095924676,,-0.0,,
39,,,0.0022456343315248864,0.028847598424514224,0.004445993882396449,0.021227857033908774,,-0.0,,
40,,,0.0,0.0,0.0,0.0,,0.0,,
41,,,0.0,0.0,0.0,0.0,,0.0,,
42,,,0.0,0.0,0.0,0.0,,0.0,,
43,,,0.0,0.0,0.0,0.0,,0.0,,
44,,,0.0,0.0,0.0,0.0,,0.0,,
45,,,0.0801276881481536,0.024680270112392107,0.05212166208038937,0.0414946260327159,,0.0,,
46,,,0.001300129035098172,0.0075252406571466035,0.0,0.0,,0.0,,
47,,,0.0,0.0,0.0,0.014650840037902386,,0.0,,
48,,,0.0,0.04925978918286618,0.003510149632137191,0.009615773855028095,,-0.0,,
49,,,0.008979070947531528,0.009011841770994825,0.002856007088910684,0.011301726919474718,,-0.0,,
50,,,0.024627408876579573,0.027160602758658003,0.06314731717984039,0.0229068122112914,,0.0,,
51,,,0.006223089801234407,0.016818084809979737,0.025240911867774385,0.0007333088808847665,,-0.0,,
52,,,0.0037952591847937186,0.0031557498485095246,0.0,0.028248813123743142,,-0.0,,
53,,,0.1758706905028761,0.06163770058125079,0.1391040535866103,0.13601769280035728,,-0.0,,
54,,,0.03033571301337539,0.024065001384818825,0.025412087716495533,0.04962949614652039,,-0.0,,
55,,,0.03824808020774058,0.016213198514597984,0.011233115816914028,0.031094045710449953,,0.21240847056133763,,
56,,,0.008396884814497371,0.013759294457926988,0.007954926055908852,0.02477973704737567,,0.0,,
57,,,0.0015395053636254297,0.009112833104814044,0.0020429453025911136,0.0,,-0.06922021727345082,,
58,,,0.005516779150209587,0.06624866788593461,0.004141217317102862,0.0022948435570553094,,-0.06167326373850694,,
59,,,0.002733111208791279,0.017901467085066562,0.002882077594064465,0.0,,-0.11724335134980186,,
60,,,0.0030425481641777998,0.0017831853815914894,0.002039665096092595,0.0,,7.40732397917877e-05,,
61,,,0.00458600556353298,0.0034080341242010612,0.03664497825961251,0.0,,-0.0001018517746772701,,
62,,,0.00013649483720370463,0.0011906339613646883,0.0059265453335967085,0.0,,0.0,,
