,Mean,Median,RF,ExtraTrees,GradBoost,AdaBoost,GP,ElasticNet,MLP
0,,,0.05033936010375915,0.016604711403674935,0.07433376485618712,0.052858609836461845,,-0.0,
1,,,0.021740022670245704,0.05047720930696219,0.03532864165856858,0.020576333424646272,,-0.0,
2,,,0.01125620751125371,0.020818051482816034,0.020804485692980323,0.022106106309504676,,-0.0,
3,,,0.0017977834917473402,0.037958520634466045,0.06264730754434143,0.0684377228611575,,0.0,
4,,,0.33384079837188924,0.08866155544685436,0.273608201727146,0.2192327180521236,,-0.0,
5,,,0.020107873429705374,0.08202327478478758,0.067220411073342,0.049976333762417446,,-0.0,
6,,,0.0,0.0,0.0,0.0,,0.0,
7,,,0.0,0.06758822008494032,0.02632660015237423,0.09793868707457253,,-0.0,
8,,,0.0,0.0,0.0,0.0,,0.0,
9,,,0.0,0.011678536164111394,0.004132668613776819,0.0035943181971247297,,0.0,
10,,,0.0,0.021922816215692944,0.0011869576180384294,0.01797524546696651,,0.0,
11,,,0.007418582237256434,0.02334176501844991,0.007368305220877177,0.001566145423414675,,0.0,
12,,,0.0,0.0,0.0,0.0,,0.0,
13,,,0.0012160878502971656,0.024593325654478724,0.0018262117567749737,0.0,,0.0,
14,,,0.00331537606773656,0.0062356740403426755,0.0028226861697100364,0.012257499952612156,,0.0,
15,,,0.0,0.0,0.0,0.0,,0.0,
16,,,0.009096132612499247,0.0017774602658170435,0.004062003227976825,0.0,,0.0,
17,,,0.0,0.0,0.0,0.0,,0.0,
18,,,0.0,0.006269547255553697,0.0,0.0,,0.0,
19,,,0.0,0.0,0.0,0.0,,0.0,
20,,,0.0,0.0,0.0,0.0,,0.0,
21,,,0.0,0.0,0.0,0.0,,0.0,
22,,,0.08929301226772499,0.05818148026977395,0.05995688978400697,0.10208781245152015,,-0.0,
23,,,0.11016137967671283,0.1274527255663178,0.18502060962137373,0.16958307561231525,,-0.0,
24,,,0.009770541871311853,0.06249163461242282,0.0034116338438080073,0.011741312726978457,,-0.0,
25,,,0.3306468418378604,0.22699410098542105,0.16671749414063702,0.1487397948831227,,0.001575956148912907,
26,,,0.0,0.06492939080711649,0.003225127298080445,0.001328283965061539,,-0.0,
