,Random,Trivial,RBF-SVM,RF,ExtraTrees,AdaBoost,GradBoost,GP,LogisticReg,MLP
0,,,,0.04134455000682272,0.09806798909822353,0.151992273316431,0.03925281332893891,,11.778589440238822,
1,,,,0.11352879731947607,0.014076038394932797,0.0,0.05077621059232639,,11.327742278298418,
2,,,,0.052042866318861604,0.03804145873472402,0.009041331802525915,0.00852272098992892,,-338.653337386474,
3,,,,0.03014550360916981,0.03121081447943804,0.017857334900820122,0.008195391756197974,,-213.5214748628395,
4,,,,0.02818427900867284,0.10285390281979385,0.019409558773468172,0.14731877091413517,,0.0003273269204201398,
5,,,,0.0794802719956454,0.07097180419132429,0.019311861573538106,0.057214567813895,,86.17863729161475,
6,,,,0.0,0.0,0.0,0.0,,0.0,
7,,,,0.0,0.0,0.0,0.0,,0.0,
8,,,,0.038800071274190204,0.0337126404317467,,0.04659564993798302,,9.357778518347653,
9,,,,0.025182394259413515,0.0817309642185381,0.00833420696776211,0.02961808006555426,,-0.5364834344953557,
10,,,,0.02472971752774209,0.04597264486230332,0.04425445079293385,0.0,,-0.00027132506940215936,
11,,,,0.04861954402944415,0.021559091644475566,0.166548168471282,0.05813605273195536,,136.13627961509104,
12,,,,0.0,0.0,0.0,0.0,,0.0,
13,,,,0.0,0.0,0.0,0.0,,0.0,
14,,,,0.0,0.03556251386523242,,0.0,,0.0015521839572074966,
15,,,,0.020589166715969155,0.05230487287425867,0.1850000423006164,0.009285800287316768,,38.469590136889884,
16,,,,0.0,0.0,0.0,0.0,,0.0,
17,,,,0.0,0.0,0.0,0.0,,0.0,
18,,,,0.05907239210029107,0.019576376682977816,0.039406246864417654,0.03295889552278245,,0.0014234227562602826,
19,,,,0.08531391029149722,0.016185042690923933,1.134088065131961e-05,0.029973138042730045,,72.27688508422409,
20,,,,0.03854537770929015,0.02072144025395413,6.556346445311081e-05,0.031006071810621597,,3.448033535870354,
21,,,,0.05469817663466977,0.021534368689944537,1.598468529585876e-08,0.03848837066482793,,29.677670651269352,
22,,,,0.0199201758874624,0.024885402956969775,2.4703043803068944e-05,0.0,,1.5674458060401022,
23,,,,0.0511752807347232,0.15099307784023344,,0.1272042647188736,,2.819753908898788,
24,,,,0.046160803884314754,0.020765810578255398,0.04936899089702907,0.053056853096974575,,0.04048044953509701,
25,,,,0.022476076849304794,0.07147783322686616,0.01531293032531635,0.037111036839497055,,0.022507802083683588,
26,,,,0.1199906438430391,0.027795911464883517,7.021988807004353e-05,0.1952853108854609,,0.01958049726251149,
