,Mean,Median,RF,ExtraTrees,GradBoost,AdaBoost,GP,ElasticNet,MLP
0,,,0.03495559135385918,0.042446438024817235,0.014477359246125417,0.03971358541051624,,0.0,
1,,,7.752851497427476e-07,0.021785748497147518,0.000931974066448218,0.0406025346731049,,0.0,
2,,,0.0011448286724698295,0.07791966556536493,0.0016814099864121638,0.03269310301164346,,0.0,
3,,,0.01531767256286803,0.03062976465701041,0.023313582082202494,0.024275352133331148,,-0.0,
4,,,0.019971215558851653,0.04433399701916259,2.665335526653475e-05,0.015416616253137031,,0.0,
5,,,0.02242659183089894,0.027623382743613,7.651308301335183e-05,0.03198792519974857,,-0.0,
6,,,0.0,0.0,0.0,0.0,,0.0,
7,,,0.0,0.0,0.0,0.0,,0.0,
8,,,0.0386038196415722,0.041760414660272666,0.10402607042824323,0.040813431024821226,,-0.0,
9,,,0.05765438744329983,0.022037550696643118,0.02148210601556485,0.07466670243172212,,0.0,
10,,,0.04346541150997703,0.037159276754923365,0.033622974242869294,0.03744092542023041,,0.0,
11,,,0.03697757690723466,0.07837124013365901,0.04344640306997561,0.08478966101244557,,-0.0,
12,,,0.0,0.0,0.0,0.0,,0.0,
13,,,0.0,0.0,0.0,0.0,,0.0,
14,,,0.19462737853165724,0.05154389952343014,0.3233166841436447,0.15542029236463303,,-0.0,
15,,,0.08030530140907588,0.03185778062104129,0.04895024451869039,0.04852236202563102,,0.0,
16,,,0.0,0.0,0.0,0.0,,0.0,
17,,,0.0,0.0,0.0,0.0,,0.0,
18,,,0.022788386695382128,0.059810242051458976,0.06763240924381159,0.03718397168281065,,0.0,
19,,,0.008295684144272574,0.0039977755064882735,0.015435753170550863,0.04125867741918671,,-0.0,
20,,,0.09702115096588504,0.08789434065222312,0.031107658958509265,0.02242717656339218,,-0.0,
21,,,0.004893297375983385,0.05377402840869409,0.024348640097565332,0.09927469539132032,,-0.0,
22,,,0.03510513756432779,0.02826969861470931,0.0058172704716644005,0.022642788160824358,,0.0,
23,,,0.014249418685816126,6.676951462994994e-07,0.0006688778206364648,0.0010949389973229147,,-0.0,
24,,,0.027139609700863303,0.06394281344590876,1.3036849706642543e-07,0.04654963422857459,,0.0,
25,,,0.2117219260440161,0.16046620152116,0.14555595872537588,0.0645198218378099,,0.0,
26,,,0.033334838116539305,0.03437507320712592,0.09408132690493287,0.03870580475779359,,-0.0,
