,Mean,Median,RF,ExtraTrees,GradBoost,AdaBoost,GP,ElasticNet,MLP
0,,,0.013616151574944063,0.011635115003434685,0.002765507937012821,0.01343258475976986,,-0.0,
1,,,0.05622465239656219,0.03690699251111133,0.12791707722726778,0.04959738311057273,,-0.0,
2,,,0.04091137530573382,0.03062969177560749,0.028741978912234234,0.026874565264385034,,-0.0,
3,,,0.05124145857304481,0.035074349644512434,0.01949140423419143,0.041023760539841844,,-0.0,
4,,,0.0008461187038377299,0.05380699219392206,0.10430661932712675,0.06525712607381494,,-0.0,
5,,,0.02459285272692242,0.01769313394841492,0.09758040947468734,0.06487494226974079,,-0.0,
6,,,0.0,0.0,0.0,0.0,,0.0,
7,,,0.0,0.0,0.0,0.0,,0.0,
8,,,0.014219354188721589,0.018269675731863704,0.005105322962525485,0.010905124488322667,,-0.0,
9,,,0.028441900744885267,0.035954825625787196,0.01041205921387372,0.06488243384141144,,-0.0,
10,,,0.011527361011437632,0.014324420913158544,0.007010377564333051,0.01596399372747008,,-0.0,
11,,,0.044289530378748915,0.02397112735382279,0.008142733049121127,0.055852930401060506,,-0.0,
12,,,0.0,0.0,0.0,0.0,,0.0,
13,,,0.0,0.0,0.0,0.0,,0.0,
14,,,0.013551934351850564,0.06339620372522974,0.0,0.03424719865182604,,-0.0,
15,,,0.08330090070568068,0.05327140030180118,0.126372527391831,0.09214134172223751,,-0.0,
16,,,0.0,0.0,0.0,0.0,,0.0,
17,,,0.0,0.0,0.0,0.0,,0.0,
18,,,0.02439319090235214,0.0021098322437122135,0.0,0.013325159357179506,,-0.0,
19,,,0.05526894629962327,0.07857696527963362,0.0,0.03600579447260446,,-0.0,
20,,,0.011413652880963392,0.02740834703323806,0.0004551133399928795,0.0205214762388427,,-0.0,
21,,,0.017286899256042057,0.027646054674296337,0.01128693429543398,0.008369799750444608,,-0.0,
22,,,0.03767596492542283,0.04299302536991529,0.0037356138330764737,0.009898035934504931,,-0.0,
23,,,0.008651682324470783,0.021983520058285952,0.0037153580740476714,0.04061030076910299,,-0.0,
24,,,0.06624901193740608,0.09839499083123177,0.08628300130270167,0.08816197886496639,,0.0,
25,,,0.13268717361931964,0.18957872477705748,0.1646245526809794,0.13727493142727415,,-0.0023539824356047343,
26,,,0.26360988719203016,0.11637461100396321,0.1920534091795633,0.11077913833462684,,0.0,
