,Random,Trivial,RBF-SVM,RF,ExtraTrees,AdaBoost,GradBoost,GP,LogisticReg,MLP
0,,,,0.06539833014649842,0.08257396090193012,0.024701308451243024,0.032382919630758275,,0.0,
1,,,,0.02096958618137615,0.04238209510369351,,0.004213258964554958,,0.0,
2,,,,0.05649493024124093,0.09873319116873172,,0.041772209887119105,,0.0,
3,,,,0.047359211316504266,0.02074096340272037,,0.003734865451621511,,0.0,
4,,,,0.07111228518773363,0.06837214406656308,0.044224423497619646,0.03072638456170001,,0.0,
5,,,,0.010907077880625596,0.05036675074734922,0.0847150749755333,0.0,,0.0,
6,,,,0.0,0.0,0.0,0.0,,0.0,
7,,,,0.0,0.0,0.0,0.0,,0.0,
8,,,,0.05057937213895526,0.0310650865726743,,0.008500688171982058,,0.0,
9,,,,0.07755570132247558,0.019885134023055952,,0.04789706876955275,,0.0,
10,,,,0.11318526681121348,0.03627986484828942,,0.13267138381239257,,0.0,
11,,,,0.026795762231392968,0.06306459704660165,0.024199383632015185,0.0,,0.0,
12,,,,0.0,0.0,0.0,0.0,,0.0,
13,,,,0.0,0.0,0.0,0.0,,0.0,
14,,,,0.10651947325432139,0.04032936666305137,,0.18153825533889772,,0.0,
15,,,,0.027681265672940082,0.07763351000035461,0.02197609195149534,1.4061622953304579e-05,,0.0,
16,,,,0.0,0.0,0.0,0.0,,0.0,
17,,,,0.0,0.0,0.0,0.0,,0.0,
18,,,,0.05399469185046328,0.00756260915288629,-8.326672684688675e-18,0.023510338940478295,,0.0,
19,,,,0.018165028065462014,0.04856971870525337,0.010932580575134106,0.06896990458273039,,0.0,
20,,,,0.05194281884555622,0.06240020788199283,0.0,0.08243911279484971,,0.0,
21,,,,0.03961047236796062,0.03865832732745682,0.014145824535815149,0.029697116454720944,,0.0,
22,,,,0.012259537855445635,0.044828068540512855,0.0001458600380103534,0.022462863565615367,,0.0,
23,,,,0.024600533658573936,0.0,,0.007873845787230712,,0.0,
24,,,,0.019563894359383084,0.037453812222999386,0.05100108588338921,0.007220736968806159,,-0.008776131269373409,
25,,,,0.07894159162072788,0.10480635118277,,0.2486725830674898,,-0.0016598238381141724,
26,,,,0.0263631689911496,0.024294240441113085,0.025613795555578377,0.025702401626546252,,0.010943064712323614,
