,Mean,Median,RF,ExtraTrees,GradBoost,AdaBoost,GP,ElasticNet,MLP
0,,,0.07900749787981605,0.06930061817671236,0.058652001628533505,0.03233043954581847,,0.0,
1,,,0.04589926433143132,0.038647425712755624,0.011268231060978256,0.032268762909730915,,0.0,
2,,,0.1110359011946755,0.08309208509897631,0.04039046190455869,0.035606751788640506,,0.0,
3,,,0.0,0.02102268864950089,0.01798570040496397,0.02307944873318958,,-0.0,
4,,,0.021694355890022915,0.0,0.015107924430062956,0.035822132471287314,,0.0,
5,,,0.06882779381589518,0.0629577384582243,0.05706118932528297,0.09041344971539869,,-0.0,
6,,,0.0,0.0,0.0,0.0,,0.0,
7,,,0.0,0.0,0.0,0.0,,0.0,
8,,,0.00438733041218816,0.02824695220578784,0.035205217565257386,0.04543597998095632,,-0.0,
9,,,0.019756422711852645,0.026803037215133396,0.001484623093277687,0.02919978592555068,,0.0,
10,,,0.028719009551784185,0.06180661304361269,0.03166861832982752,0.06075354423400081,,0.0,
11,,,0.0038422746654357813,0.031167206316577573,0.02622812606808743,0.020984558386430915,,-0.0,
12,,,0.0,0.0,0.0,0.0,,0.0,
13,,,0.0,0.0,0.0,0.0,,0.0,
14,,,0.04884548747157259,0.032575516015520424,0.06345572746156401,0.05611720939704221,,-0.0,
15,,,0.056047935535078044,0.04081864669815517,0.041466360335175693,0.05085748023943891,,0.0,
16,,,0.0,0.0,0.0,0.0,,0.0,
17,,,0.0,0.0,0.0,0.0,,0.0,
18,,,0.02283610605178229,0.0,0.04239766147443183,0.015472594688812576,,0.0,
19,,,0.027001095597305486,0.08830599963632418,0.02958303756458322,0.05836501503938891,,0.0,
20,,,0.0903589932143023,0.05783364115159277,0.0283754102025541,0.05033064001919473,,-0.0,
21,,,0.006858958769305758,0.0010688154733565303,0.0006704756458774441,0.06471943210029503,,-0.0,
22,,,0.003468522948535533,0.036596467094467657,0.0,0.0386618482374511,,0.0,
23,,,0.017985208405144282,0.009836061812440676,0.028066161762587197,0.02759033746554167,,-0.0,
24,,,0.045285855246175954,0.06732518810614965,0.01660491954584238,0.07286734272896157,,0.0,
25,,,0.27046363062646184,0.12676683387192325,0.4387287447971435,0.11013283454567678,,0.0,
26,,,0.027678355681234168,0.11582846526278874,0.015599407399410332,0.04899041184719248,,-0.0,
