,Random,Trivial,RBF-SVM,RF,ExtraTrees,AdaBoost,GradBoost,GP,LogisticReg,MLP,MLP-big
0,,,,0.022562593311829283,0.054116072057763955,0.03754575596089512,0.019362889523788895,,0.0,,
1,,,,0.022122335423513655,0.059144170587310994,0.031381499816450206,0.008772721380294494,,0.0,,
2,,,,0.04555658313881341,0.04691406802637905,0.08692981149034665,0.12273590950126657,,0.0,,
3,,,,0.04015108754204971,0.032544438066509765,0.11925702401192217,0.15684550726465155,,6.397926177412932,,
4,,,,0.0789702753154129,0.05095072433424791,0.009074706442709015,0.0029252740295768968,,0.0,,
5,,,,0.04007356974464605,0.020669281049401984,0.027892103963336173,0.0009830362975705236,,0.0,,
6,,,,0.0,0.0,0.0,0.0,,0.0,,
7,,,,0.0,0.0,0.0,0.0,,0.0,,
8,,,,0.04057171354361932,0.0839633355516079,0.05563007611981365,0.04589836880105553,,0.0,,
9,,,,0.022947975821191208,0.044844412312107174,0.021328518227051334,0.00114747258032454,,0.0645243594520498,,
10,,,,0.040954722644025096,0.10492940278634692,0.03857357618091475,0.03139880441592648,,0.0,,
11,,,,0.04114179204107201,0.03539898683271217,0.045838951306350705,0.02192150169203193,,0.0,,
12,,,,0.0,0.0,0.0,0.0,,0.0,,
13,,,,0.0,0.0,0.0,0.0,,0.0,,
14,,,,0.05871259431406507,0.05025271736367576,0.019769608266790323,0.027738499401360986,,0.0,,
15,,,,0.03303177940901091,0.04099655236828938,0.05260481137618996,0.035578646501949814,,0.806842152885528,,
16,,,,0.0,0.0,0.0,0.0,,0.0,,
17,,,,0.0,0.0,0.0,0.0,,0.0,,
18,,,,0.03557363096122389,0.06122812315716451,0.023969213625601088,0.006410696835506483,,0.0,,
19,,,,0.038218548318224924,0.03259276561015252,0.02048448488285096,0.012581815380614803,,3.0380881707264744,,
20,,,,0.08935247929351031,0.04605086933425873,0.06462873172202466,0.13668373997630529,,-9.79755623216048,,
21,,,,0.05379445381657414,0.015175580531233546,0.06856223699481408,0.11783085566687194,,-4.6099305140501645,,
22,,,,0.05631629316203794,0.06755935883779782,0.007059840324718748,0.012422757739321767,,0.012928511555870834,,
23,,,,0.03800754991835152,0.0338927284567452,0.04311128757901775,0.0359821614491457,,0.0,,
24,,,,0.051174229613470644,0.024072502641128875,0.06487145169307862,0.02965051067761677,,0.0024649790084557747,,
25,,,,0.09422171634669281,0.0657675732545104,0.09818868522636934,0.15179655318526622,,-0.003727356865360939,,
26,,,,0.056544076320665194,0.028936336840655476,0.06329762478875467,0.021332277699552954,,0.0024371668408962937,,
