,Random,Trivial,RF,AdaBoost,GradBoost,LogisticReg,MLP-big
0,,,0.008067622227244987,0.03631880765375331,0.009166558199990262,-0.021748214338330994,
1,,,0.01146506427132293,0.03429993288178556,0.013898559563166853,0.02043455027026246,
2,,,0.007217194731869466,0.03365632544178046,0.0017024010510091727,0.001392510607951207,
3,,,0.002952802333310027,0.0,0.007456080472424577,-0.0019584611300234728,
4,,,0.01594091412417187,0.00646934799980268,0.0,0.02061600766188995,
5,,,0.022145790734514188,0.028275586606933634,0.012581322149442504,-0.0042805858603186895,
6,,,0.03732343803368195,0.0,0.006433253391667063,-0.010086090235834925,
7,,,0.017888022000365884,0.017286424894823633,0.008954147989815099,-0.002309794837105485,
8,,,0.0,0.0,0.0,0.006228126523338717,
9,,,0.0049873073917596,0.0,0.003095542074368819,0.0007158883130905377,
10,,,0.00861924467546174,0.003539397950146076,0.0,-0.0009849266613023856,
11,,,0.02205656218513444,0.0021306676852691753,0.01603901440858119,-0.0070798085271142255,
12,,,0.042611276635358755,0.0046076423168493145,0.0,-0.00880068992096428,
13,,,0.008388301085799216,0.0,0.0024735763938507904,0.0003034792289332387,
14,,,0.0023917717137936553,0.0,0.0,0.006226927011543193,
15,,,0.003342674973348887,0.00928616044266458,0.005001159543896706,0.0014416992053811152,
16,,,0.0030259889430830278,0.0026600959337864027,0.0,-0.004787066471895312,
17,,,0.03498029387270848,0.028525022079196976,0.03387338613239857,0.004598883112859329,
18,,,0.0,0.0,0.0,-0.003151268811464643,
19,,,0.0,0.0,0.0,-0.0006442493948434123,
20,,,0.0,0.0,0.0,-0.00027726921707988517,
21,,,0.0,0.0,0.0,-0.00027726921707988517,
22,,,0.0,0.0,0.0,-9.955243139184457e-06,
23,,,0.0,0.0,0.0,-0.0027825795216943686,
24,,,0.03714634373637371,0.03342544724289716,0.027093913370429483,-0.021815976612882686,
25,,,0.018798823649217467,0.03398998705629028,0.028756861404469414,0.02135340379546885,
26,,,0.005855626410167504,0.01647002413271731,0.0043518941815654105,0.004256629099210197,
27,,,0.0,0.026570974825545757,0.002727688048473455,-0.0014183221981749349,
28,,,0.003416753016638581,0.01363823458151551,0.0009351419241380412,0.017009102942709773,
29,,,0.011383379339191022,0.012151469930889197,0.020629270633701822,0.007851855571271205,
30,,,0.0541283503120306,0.01530265920934156,0.030256572269722927,-0.007311253156370916,
31,,,0.011030836071389797,0.01882242895224037,0.027185075352040955,0.002381718328654126,
32,,,0.0007119887752562763,0.013077825473891986,0.0,0.002994922230428155,
33,,,0.006321931011563314,0.0,0.002056109160698711,0.0011150532094616119,
34,,,0.0,0.0,0.0,-0.0010904676331302192,
35,,,0.03840985321978839,0.00853754495415531,0.0,-0.005376355955367448,
36,,,0.0,0.0,0.0,-0.0006806769976496514,
37,,,0.0,0.0,0.0,-0.0009263410100287901,
38,,,0.0,0.0,0.0,-0.00029428425857811646,
