,Random,Trivial,RBF-SVM,RF,ExtraTrees,AdaBoost,GradBoost,GP,LogisticReg,MLP,MLP_big
0,,,,0.08752385551158236,0.0642982836654217,0.05845436044631286,0.07917075028312444,,0.0,,
1,,,,0.024652058026552463,0.022281530336021763,0.05235199233029032,0.04592421460810194,,0.0,,
2,,,,0.09282205421371902,0.05095510249089147,0.02928990425668876,0.08928709564888733,,0.0,,
3,,,,0.042823988176225694,0.036648086485339945,0.01723590428993135,0.06055038893719256,,0.0,,
4,,,,0.08149097734164318,0.08363005964337049,0.026803620624009258,0.003334441482228652,,0.0,,
5,,,,0.027579043211520403,0.05597296973676097,0.040709932519904096,0.03943039435676729,,0.0,,
6,,,,0.0,0.0,0.0,0.0,,0.0,,
7,,,,0.0,0.0,0.0,0.0,,0.0,,
8,,,,0.0573238820095359,0.04831902000085755,0.03591397511048701,0.05443048177712579,,0.0,,
9,,,,0.041871009192992865,0.04822646680332667,0.04001506113234086,0.040010809257666965,,0.0,,
10,,,,0.058128047520819966,0.055762202648317306,0.059378002659415265,0.0618579093616758,,0.0,,
11,,,,0.019249711944993274,0.04545118082191062,0.0690767021112242,0.047847071622151946,,0.0,,
12,,,,0.0,0.0,0.0,0.0,,0.0,,
13,,,,0.0,0.0,0.0,0.0,,0.0,,
14,,,,0.08090486911887011,0.035113253850895774,0.023179731653750545,0.05762724098273024,,0.0,,
15,,,,0.029480396214033998,0.03663675523148642,0.04132353632927297,0.026406486510993143,,0.0,,
16,,,,0.0,0.0,0.0,0.0,,0.0,,
17,,,,0.0,0.0,0.0,0.0,,0.0,,
18,,,,0.09144115865274932,0.10398708052868168,0.025294370383941094,0.1119129469975745,,0.0,,
19,,,,0.039788371857372946,0.0763219837629779,0.04588134118010236,0.008213170888904865,,0.0,,
20,,,,0.07239868337184484,0.06687446101576759,0.028709329478342652,0.03745763968454685,,0.0,,
21,,,,0.014002519818127923,0.0201363350785341,0.04439585726559003,0.04549742449290617,,0.0,,
22,,,,0.07953566631325329,0.06171108710215606,0.020530706033803886,0.03098241580043923,,0.0,,
23,,,,0.017431032740256803,0.03596785109234355,0.03649283181655503,0.012883972113014189,,0.1554435232632755,,
24,,,,0.01860812632644521,0.016222393844252267,0.08090227828613221,0.07159509439092662,,0.002426683772194339,,
25,,,,0.01221576109113507,0.01124891439363536,0.09208903921335584,0.061394028513581264,,-0.0008080729089599498,,
26,,,,0.010728787346325264,0.02423498146705075,0.13197152287854944,0.014186022289460328,,-0.0032410084786995723,,
